
可以是党合并。比如圆环可以合并进框形态里，这样同样也给其他的留下了框化功能

文件名,标准英文名称,中文名称
Rect.rs,Rectangle,矩形 (2D)
Triangle.rs,Triangle,三角形 (2D)
Circle.rs,Circle,圆形 (2D)
Ellipse.rs,Ellipse,椭圆 (2D)
Polygon.rs,Polygon,多边形 (2D 通用)
RegularPolygon.rs,Regular Polygon,正多边形 (2D)
IrregularPolygon.rs,Irregular Polygon,不规则多边形 (2D)
RoundedRect.rs,Rounded Rectangle,圆角矩形 (2D)
Capsule2D.rs,2D Capsule Shape,2D 胶囊渲染图形
Sector.rs,Sector,扇形 (2D)
Annulus.rs,Annulus,环形环带 (2D)
Ring.rs,Ring,圆环 (2D)
Trapezoid.rs,Trapezoid,梯形 (2D)
Rhombus.rs,Rhombus,菱形 (2D)
Star.rs,Star,星形 (2D)
Arc.rs,Arc,圆弧 (2D)
BezierShape.rs,Bezier Shape,贝塞尔闭合图形 (2D)
Spline.rs,Spline Shape,样条闭合图形 (2D)
LineStrip.rs,Line Strip,连续折线 (2D)
LineLoop.rs,Line Loop,闭合环线 (2D)
Cube.rs,Cube,立方体 (3D 渲染模型)
Sphere.rs,Sphere,球体 (3D 渲染模型)
Cylinder.rs,Cylinder,圆柱体 (3D 渲染模型)
Cone.rs,Cone,圆锥体 (3D 渲染模型)
Capsule3D.rs,3D Capsule Shape,3D 胶囊渲染模型
Plane.rs,Plane,平面 (3D)
Torus.rs,Torus,圆环体 / 甜甜圈 (3D)
TorusKnot.rs,Torus Knot,环纽结 (3D)
Pyramid.rs,Pyramid,四棱锥 (3D)
Prism.rs,Prism,棱柱 (3D)
Tetrahedron.rs,Tetrahedron,正四面体 (3D 多面体)
Octahedron.rs,Octahedron,正八面体 (3D 多面体)
Dodecahedron.rs,Dodecahedron,正十二面体 (3D 多面体)
Icosahedron.rs,Icosahedron,正二十面体 (3D 多面体)
Hexahedron.rs,Hexahedron,六面体 (立方体学名，3D)
Ellipsoid.rs,Ellipsoid,椭球体 (3D 曲面)
CappedCylinder.rs,Capped Cylinder,带顶盖圆柱 (3D 曲面)
Paraboloid.rs,Paraboloid,抛物面 (3D 曲面)
Hyperboloid.rs,Hyperboloid,双曲面 (3D 曲面)
