文件名,标准英文名称,中文名称
CollisionEdge2D.rs,Collision Edge 2D,2D 碰撞线段
CollisionChain2D.rs,Collision Chain 2D,2D 折线碰撞链
CollisionPolygon2D.rs,Collision Polygon 2D,2D 多边形碰撞体
CollisionCapsule2D.rs,Collision Capsule 2D,2D 胶囊碰撞体
CollisionCircle2D.rs,Collision Circle 2D,2D 圆形碰撞体
CollisionRect2D.rs,Collision Rect 2D,2D 矩形碰撞体
CollisionBox3D.rs,Collision Box 3D,3D 立方体碰撞盒
CollisionSphere3D.rs,Collision Sphere 3D,3D 球形碰撞体
CollisionCylinder3D.rs,Collision Cylinder 3D,3D 圆柱碰撞体
CollisionCone3D.rs,Collision Cone 3D,3D 圆锥碰撞体
CollisionCapsule3D.rs,Collision Capsule 3D,3D 胶囊碰撞体
ConvexHull.rs,Convex Hull,凸包碰撞网格
ConcaveMeshCollision.rs,Concave Mesh Collision,凹网格碰撞体 (地形)
CompoundCollision.rs,Compound Collider,复合碰撞体
AABB.rs,Axis-Aligned Bounding Box,轴对齐包围盒
OBB.rs,Oriented Bounding Box,定向包围盒
BoundingSphere.rs,Bounding Sphere,球形包围盒
Bounds.rs,Bounds,通用包围容器
Ray.rs,Ray,射线 (空间检测)
Frustum.rs,View Frustum,相机视锥 (裁剪检测)
